,valence,year,acousticness,artists,danceability,duration_ms,energy,explicit,id,instrumentalness,key,liveness,loudness,mode,name,popularity,release_date,speechiness,tempo
139304,0.602,2012,0.141,"['Kurupt', 'Blaqthoven', 'BadAss', 'Daz Dillinger']",0.829,261173,0.821,1,3Q9QGamJUf6y6DU0MJ8jBd,0,9,0.585,-6.184,1,Who Ride Wit Us,49,2012-10-24,0.367,104.966
166684,0.782,2001,0.0658,"['Nas', 'Amerie']",0.866,272200,0.914,1,3jaVs4siORt8woMSSH54yV,1.16E-05,2,0.135,-2.335,1,Rule (feat. Amerie),41,2001,0.253,98.958
40655,0.76,1937,0.994,"['Francisco Canaro', 'Roberto Maida']",0.609,196200,0.475,0,56kvBQkgR1IKSmaC9vvUn5,0.247,5,0.219,-9.7,1,Jamas - Remasterizado,0,1937-01-18,0.252,169.877
94936,0.646,1951,0.991,['Geeta Dutt'],0.639,175427,0.135,0,19dO9tEJU26gB7UszdN7oz,0,5,0.271,-8.812,1,Kuchh Pyar Kiye Jao,0,1951-12-31,0.25,175.339
116936,0.964,1980,0.393,['Beth Carvalho'],0.635,171293,0.795,0,7zjQUpmz0SkAwYiGbzL40F,0,5,0.0822,-7.338,0,Quando o povo entra na dança,47,1980,0.189,104.614
84401,0.829,1980,0.54,['Grateful Dead'],0.809,309076,0.581,0,1EnynpdO45PhqAbXpIbw4m,0.0381,11,0.359,-9.573,0,Feel like a Stranger - 2013 Remaster,29,1980,0.0463,101.773
151180,0.278,1997,0.246,['Ricardo Montaner'],0.56,277667,0.562,0,6g9x9mLTeimvTsqJt03LGn,2.97E-06,7,0.298,-7.429,1,Para Llorar,48,1997-10-22,0.0339,139.844
60097,0.483,1945,0.962,"['Kanta Kumari', 'Shrikant Tripathi']",0.379,198249,0.176,0,1SDD0EDQOQO0bR2GyfzpH2,0.0109,7,0.724,-13.826,1,Tum Honthon Ki Muskan,0,1945-12-31,0.0322,137.02
109937,0.1,1945,0.988,"['Aaron Copland', 'William Kapell']",0.562,525027,0.00973,0,3a8FBCgMHUUiRc2nO9gmJn,0.902,4,0.684,-20.707,1,Piano Sonata: Andante sostenuto,0,1945,0.0692,131.995
40886,0.677,1938,0.995,['Liva Weel'],0.599,179560,0.129,0,0kZr4Mzf3J9Vo9sgEPF9BR,0.226,7,0.118,-16.676,1,"åh hvor jeg, ih hvor jeg, Uh hvor jeg vil",0,1938,0.439,177.046
88482,0.841,2001,0.114,['Guttermouth'],0.545,161800,0.968,0,0IPpDL2ZVlARtmACSzsXlc,0,4,0.404,-3.773,1,She's Got The Look,47,2001-04-10,0.0862,164.416
39700,0.718,1931,0.975,"['Francisco Canaro', 'Charlo']",0.447,198493,0.562,0,4ZrXMEgFGu8RDuTmyrDdX0,0.0945,11,0.859,-5.64,1,Rosa de Pasión - Remasterizado,0,1931-12-14,0.117,175.606
10186,0.582,1972,0.541,['Al Green'],0.523,387783,0.287,0,5EPMGpzwuUAutClCLFyGVh,6.96E-05,7,0.151,-11.998,1,For the Good Times,48,1972-10-23,0.0802,172.364
133054,0.672,1981,0.426,"['Maze', 'Frankie Beverly']",0.489,451040,0.741,0,4j52tbi7dYkP09gJrJVO8K,1.14E-05,5,0.987,-6.842,1,The Look In Your Eyes - Live,23,1981-01-01,0.0416,94.635
121821,0.239,2005,0.967,['Betty Noyes'],0.247,127333,0.485,0,5LLc5PMYsumWanLvgr7DCB,9.46E-05,6,0.312,-10.694,0,"Baby Mine - From ""Dumbo""",45,2005-01-01,0.0353,96.59
37739,0.387,2016,0.00264,['BLACKPINK'],0.658,240849,0.836,0,3yHQKddM8SVCRnuPSo3HPN,1.02E-06,5,0.507,-3.282,0,BOOMBAYAH,77,2016-08-08,0.0549,124.969
132211,0.556,1977,0.0529,['Gary Wilson'],0.67,118973,0.3,0,1BQ7KXLYhPaGH3z0E51eeH,0.929,10,0.112,-11.361,0,You Were To Good To Be True,25,1977,0.0481,111.72
127892,0.511,1955,0.52,['Miles Davis'],0.518,550773,0.312,0,0ptfUz3Ef1KbzkWnII1tuG,0.000207,9,0.261,-14.849,0,"Bye Bye Blackbird - Live at the Newport Jazz Festival, Newport, RI - July 1958",3,1955,0.0538,132.181
67241,0.641,1981,0.199,['The Moody Blues'],0.475,439667,0.707,0,2XcqVRhBgGAG5OqW2Q0zro,0.261,6,0.149,-7.698,1,Talking Out Of Turn,44,1981-05-15,0.0352,76.799
96669,0.344,1960,0.534,"['June Christy', 'Bob Cooper']",0.502,219133,0.294,0,3WTNPDkfOCI9q5DwNSbHsu,0,10,0.0866,-10.128,1,Make Someone Happy,16,1960-04-01,0.0299,107.767
52402,0.757,1996,0.073,['Backstreet Boys'],0.776,230733,0.944,0,1btqbebzIS2IK0QkRUpShJ,0,8,0.0866,-4.854,0,Get Down (You're the One for Me) - LP Edit No Rap,45,1996,0.0404,113.012
163417,0.914,1984,0.144,['Tina Turner'],0.696,251240,0.897,0,27v32fV3y5dD2ltG3iPOAv,0.00676,7,0.247,-5.089,1,I Might Have Been Queen - 2015 Remaster,32,1984-05-29,0.0311,132.513
58303,0.104,1931,0.899,"['Ninon Vallin', 'Georges Thill', 'Germaine Féraldy', ""Chœur et Orchestre de l'Opéra de Paris"", 'Elie Cohen']",0.179,227187,0.231,0,5O5xc6sTRoYEa9zbYIh9bb,0.00719,8,0.245,-13.077,1,"Werther, Acte I: Rêve! Extase!",0,1931,0.0487,68.004
33082,0.127,1992,0.703,['Don McLean'],0.31,257693,0.187,0,4bgfMOKbX5q7XHRECffBl5,0.203,11,0.206,-15.96,1,And I Love You So,54,1992-01-01,0.0285,90.977
123143,0.765,2012,0.36,['Los Inquietos Del Norte'],0.6,142027,0.852,0,3GKdkTFuZJ8v790Mr0UwTo,0.00324,10,0.0784,-5.943,0,La Gritera,50,2012-03-26,0.045,98.876
170348,0.899,2019,0.503,['Los Dos Carnales'],0.592,163706,0.634,0,6vZnpaBquxZQzTZqJrap1B,0,10,0.0904,-6.03,1,Mi Profesión,62,2019-11-29,0.177,92.556
136806,0.0365,2000,0.988,"['Francis Poulenc', 'Françoise Groben', 'Alexandre Tharaud']",0.223,382693,0.0212,0,5N5zKgH5mCw0eiQnyRxNZT,0.866,10,0.14,-24.983,0,"Cello Sonata, FP 143: Cavatine: Tres calme",39,2000-04-13,0.043,122.178
28335,0.447,1969,0.0572,['Led Zeppelin'],0.399,147933,0.946,0,0yVs7eSL8mPnIu2CGKHpUQ,6.77E-06,2,0.73,-6.998,1,Communication Breakdown - 1990 Remaster,48,1969-01-12,0.164,175.009
49871,0.809,1983,0.142,['Tracey Ullman'],0.505,179627,0.843,0,0tOkXHcYsR2Y07XiGl0Yme,7.34E-05,0,0.148,-3.952,1,They Don't Know,46,1983-11-25,0.0372,114.076
122349,0.902,2008,0.356,['Cumbre Norteña'],0.773,136280,0.886,0,2ljlODbJrQrMEcC4wmoCkg,0,2,0.0993,-3.645,0,Como Estas Tú,45,2008-04-15,0.0429,105.163
72132,0.172,2005,0.483,"['3 Doors Down', 'Bob Seger']",0.474,271373,0.482,0,69fOcFyjsjZtUHyWGEQndl,3.27E-06,4,0.115,-6.746,0,Landing In London,48,2005-01-01,0.0262,147.376
141338,0.355,1942,0.986,"['Vera Zorina', 'Johnnie Johnston']",0.319,222228,0.403,0,72KvofVCP69yITfw2sJy6O,0.028,9,0.933,-11.42,1,That Old Black Magic,0,1942-10-02,0.0369,80.654
122616,0.126,2009,0.162,['Brian Courtney Wilson'],0.537,298920,0.572,0,5HHTagqi6mN3Mat4AWmVpY,0,1,0.354,-7.39,1,All I Need,43,2009-06-02,0.0282,98.143
72250,0.724,2006,0.00824,['Hot Chip'],0.774,347880,0.794,0,3RCj5fG55qjtmnEML1gpnA,0.00317,5,0.08,-4.446,0,Over And Over,61,2006-05-22,0.0358,120.002
165469,0.854,1994,0.264,['Sounds Of Blackness'],0.562,291907,0.854,0,2hRsM5PQzLwnrtkm9Sz1A3,4.29E-06,9,0.107,-5.047,0,I'm Going All The Way,29,1994-01-01,0.0512,204.908
62110,0.662,1955,0.676,"['Art Farmer', 'Gigi Gryce']",0.537,317000,0.293,0,6S93tnPIETESq5QcEMSLCw,4.28E-05,5,0.133,-12.514,0,Blue Lights,10,1955,0.0457,141.689
84242,0.135,1979,0.515,['Prince'],0.52,240227,0.136,0,54E4j2VeN6bucTMtlP8NhD,0.00149,0,0.0913,-17.973,1,With You,33,1979-10-19,0.0282,78.209
105362,0.973,2003,0.048,['The Offspring'],0.636,204240,0.906,1,2mZ2h6VPJK2Xf2Nkik5r65,0,8,0.108,-5.059,1,Spare Me The Details,54,2003-12-09,0.0346,146.404
65911,0.287,1974,0.00843,['Aerosmith'],0.414,261733,0.639,0,7uH4Cj39mhUc907ds3OmZF,0.000346,2,0.194,-12.61,1,Spaced,31,1974-03-15,0.0424,126.718
162390,0.327,1979,0.297,['Wings'],0.401,239493,0.101,0,21x9OVpVdf6T9Fd7BmqrHH,8.85E-06,7,0.11,-14.271,1,After The Ball/Million Miles - Remastered 1993,27,1979-06-06,0.0296,73.36
106161,0.555,2007,0.461,['Michael Bublé'],0.505,170213,0.465,0,3gtSCifHWtbRxX0GFLBpcH,0,0,0.169,-6.599,1,L O V E,53,2007-10-01,0.0566,141.884
27756,0.945,1966,0.411,['Gary Lewis & The Playboys'],0.517,195280,0.685,0,6qBnFI2eznBHyHjg9kBT4K,0,9,0.0728,-8.666,1,She's Just My Style - Remastered,37,1966-01-01,0.027,74.119
60248,0.0376,1946,0.738,"['George Frideric Handel', 'The Liverpool Philharmonic Orchestra', 'Sir Malcolm Sargent']",0.236,260427,0.0705,0,29kZKXxWiA65K6ZC3cQA9j,0.788,0,0.0721,-25.571,1,"Messiah, HWV 56, Pt. 1: Pastoral Symphony (Pifa)",0,1946,0.0478,51.986
6873,0.803,1956,0.101,['Harry Belafonte'],0.707,214480,0.505,0,6LtnbAUH07JATiFPlVl6AA,0,6,0.173,-13.643,0,Man Smart (Woman Smarter),40,1956,0.338,140.944
148790,0.368,1985,0.0061,['Barón Rojo'],0.191,358733,0.91,0,4jpRPREFJcgUS6AZJFpCKl,1.79E-05,0,0.463,-5.658,0,Hijos de Caín,45,1985-07-01,0.0855,67.87
71051,0.369,2000,0.991,['Wes Montgomery'],0.53,282200,0.114,0,2M3laSC4qeLl9tWxDEzF4T,0.902,7,0.137,-18.069,1,Polka Dots And Moonbeams,47,2000-01-01,0.0475,92.249
91310,0.318,2015,0.18,['Ariana Grande'],0.434,122760,0.281,0,6JJ4W13A4Q5yeK4g6OROmg,1.01E-05,9,0.142,-7.828,1,Not Just On Christmas,59,2015-12-18,0.0294,128.973
76374,0.824,1936,0.971,['Frente Popular'],0.602,73853,0.316,0,4n1JrKnGVxqQYlIMv0GMmf,0.0881,5,0.352,-9.93,0,A las Barricadas - Remastered,6,1936-03-12,0.0307,109.972
55227,0.899,2010,0.358,['Atmosphere'],0.882,216893,0.624,1,48vRKDOBxyVChwHAjU0SOf,0,6,0.0678,-5.372,1,The Best Day,55,2010-09-07,0.0682,96.896
50500,0.693,1986,0.0222,['R.E.M.'],0.481,208093,0.835,0,5z0V8zBt6uI8dqc0ChROpg,0.0109,9,0.111,-11.318,1,Begin The Begin,43,1986-07-28,0.0415,124.937
105899,0.0291,2006,0.87,['Dario Marianelli'],0.0736,230653,0.0992,0,3TJTQ8coHzyTVpDl09wZHG,0.917,5,0.206,-17.863,0,Evey Reborn,52,2006-03-21,0.0456,80.369
9005,0.613,1966,0.692,['Francis Lai'],0.354,150747,0.375,0,3IrdE2dc5WM1W1zLbdWEZz,0.000182,4,0.0713,-9.476,0,A 200 à l'heure - Instrumental,42,1966,0.0357,169.758
15045,0.696,1997,0.0991,['The Mighty Mighty Bosstones'],0.418,194760,0.945,0,1ru5R5iSawvuMELqKXxLjS,0.0123,4,0.23,-5.406,1,The Impression That I Get,65,1997-01-01,0.118,181.174
132738,0.416,1979,0.151,['Frank Zappa'],0.407,514067,0.749,0,6G6KVcVJM8pmYOqMYE3vvR,0.000534,11,0.676,-12.655,1,He Used To Cut The Grass,28,1979-09-17,0.359,121.09
148451,0.636,1984,0.148,['Queen'],0.501,321040,0.793,0,1GyzVLJHLrBSFbBoxFF90Z,9.07E-05,5,0.139,-6.145,1,Keep Passing The Open Windows - Remastered 2011,24,1984-02-27,0.0611,160.798
9600,0.406,1969,0.77,['Cass Elliot'],0.41,221373,0.532,0,3cOWCcBKwiwUs5PCYirwMI,0,11,0.698,-10.394,0,Dream A Little Dream Of Me,46,1969-10-19,0.195,134.128
126007,0.406,1946,0.981,"['Giuseppe Verdi', 'Arturo Toscanini']",0.46,141560,0.357,0,6Fv7AlDZRcHLMoGY517Hdo,0.00294,8,0.573,-12.67,1,La Traviata: Invitato a qui seguirmi,0,1946,0.111,96.297
158355,0.146,1959,0.989,['Blossom Dearie'],0.471,211027,0.015,0,6XSkMnueQ9HekBN9YH1t9q,0.0402,6,0.139,-28.145,0,I Like Myself,14,1959-01-01,0.0399,75.135
109970,0.208,1945,0.93,['Woody Herman'],0.3,205427,0.223,0,3gXPQdsXn9jRjNaH5z3duG,1.05E-05,7,0.147,-12.91,1,Happiness Is A Thing Called Joe,1,1945,0.0315,77.397
155907,0.78,1940,0.359,"['Richard Levitt', 'Charles Byrd', 'Carl Tucker']",0.387,220965,0.576,0,51jpXf715pHF4auYPa2dlR,0.000849,5,0.182,-6.789,1,Do You Still Feel the Same Way?,0,1940-11-15,0.0498,191.062
74458,0.468,2017,0.00754,['WALK THE MOON'],0.582,261373,0.821,0,0iQ77tSa7ncj7zBPtVx6cU,2.10E-06,0,0.818,-4.861,1,One Foot,64,2017-11-10,0.0365,100.025
164405,0.593,1989,0.165,['Alex Bugnon'],0.455,376267,0.576,0,7IX0LCLUXQtBIvRV30UDIT,0.178,8,0.244,-10.352,1,Love Season,25,1989-01-01,0.0321,74.95
163523,0.806,1985,0.485,['Orquesta La Palabra'],0.715,343536,0.862,0,6RvQchPUrJSJesyeYD4Z74,0,2,0.152,-5.821,0,Rumores,38,1985-11-10,0.0467,98.606
22036,0.559,1936,0.971,"[""Count Basie's Kansas City Seven""]",0.749,193120,0.237,0,7fPMw9Q9ieIrRsoxtBXFZc,0.929,2,0.152,-13.296,0,Lester Leaps In,7,1936,0.0413,122.839
141834,0.436,1948,0.845,['Т??мен ?апо?е'],0.718,104000,0.158,1,65AenIAuelcSNMaHFLpiZC,6.53E-06,8,0.241,-17.699,1,"Ча??? 9.3 - ???гие голо?а, д??гие комна??",0,1948,0.94,116.092
93795,0.542,1945,0.273,['Э?и? ?а?и? ?ема?к'],0.719,110463,0.187,1,2y1QPS2BYzTH2YuNxYq6df,0,2,0.32,-18.231,0,Ча??? 53.4 & Ча??? 54.1 - Т?и?м?ал?на? а?ка,0,1945,0.871,126.712
148715,0.394,1985,0.00211,['Autograph'],0.473,256893,0.907,0,42wnmlYqQ56nEu6zz87yGa,0.0113,2,0.148,-3.765,1,Blondes In Black Cars,26,1985-10-01,0.0892,141.359
95549,0.829,1954,0.896,['Danny Barker'],0.578,214107,0.466,0,1m8Ku9OTWzxRbJghAWF57r,0.793,9,0.456,-10.11,0,Lazy River,2,1954-07-23,0.0328,117.912
162673,0.814,1980,0.27,['Trussel'],0.856,476360,0.655,0,2N6xewRtVIdrK3IRZavCCA,0.000103,6,0.646,-15.478,1,Love Injection,27,1980,0.197,112.35
59905,0.455,1944,0.996,['Zohrabai Ambalawali'],0.535,185307,0.115,0,6S9oPDk3jxgjCqPsF4SAVd,0.878,7,0.112,-18.051,0,Aankhon Mein Intezar,0,1944-12-31,0.0488,71.428
105792,0.395,2005,0.001,['The Cranberries'],0.533,254227,0.866,0,0cli6LmLOFcYqx0JrqAe0k,0.000446,4,0.524,-6.367,1,Dreams,45,2005-09-27,0.0499,128.489
89350,0.519,2005,0.0194,['Bun B'],0.781,256080,0.665,1,4oJYNhYWONVv8wh78LZmd2,0,1,0.387,-3.487,1,Draped Up,44,2005,0.287,74.918
58122,0.855,1930,0.992,['Elsie Houston'],0.758,184218,0.489,0,2I3kLiT32KX7NyRqfoZPuJ,0.449,1,0.127,-8.476,1,O Barão da Bahia,0,1930-12-31,0.201,91.652
48507,0.44,1976,0.426,['Michael Franks'],0.81,276400,0.396,0,2gLzBIXTrphTRCZoSRpKZJ,0.0136,7,0.0996,-15.91,1,Popsicle Toes,40,1976,0.0393,126.052
165835,0.148,1996,0.763,['Dru Hill'],0.364,214467,0.475,0,7sQSs65ajI7nUdaswMaow0,0,5,0.101,-10.423,0,April Showers,31,1996-01-01,0.0408,130.184
139525,0.378,2013,0.00135,"['Pegboard Nerds', 'Tristam']",0.681,281455,0.909,0,5HrGPHWWvr7NQUTlV75FsT,2.33E-05,9,0.0754,-4.847,1,Razor Sharp,54,2013-05-02,0.353,110.007
69382,0.281,1991,0.789,['Mississippi John Hurt'],0.591,181467,0.131,0,2aEwAZveffdZpHCez792kd,5.23E-05,7,0.13,-18.535,1,"Boys, You're Welcome",41,1991-01-01,0.0391,98.339
130923,0.389,1970,0.297,['The Velvet Underground'],0.375,173160,0.443,0,3tA1FM2kIjrpHc6CF16kZR,0,9,0.247,-10.707,1,I'm Sticking With You - Session Outtake; 2015 Remaster,25,1970,0.0409,164.929
128758,0.517,1959,0.97,['Sons of the Pioneers'],0.484,103200,0.306,0,2cPxyDT37OkngtHpKhkVNx,1.51E-05,2,0.166,-12.923,1,Way Out There,7,1959-05-10,0.0283,145.295
134046,0.146,1986,0.194,['Bruce Springsteen'],0.215,189133,0.954,0,7hXy7Oc0XfODlcR8ESR9up,8.93E-06,2,0.984,-11.74,1,"Candy's Room - Live at Meadowlands Arena, E. Rutherford, NJ - July 1981",33,1986-11-10,0.295,149.164
94168,0.563,1947,0.981,"['Joe E. Brown', 'Cornelius Peeples', 'Porter W. Heaps']",0.624,257827,0.614,0,4ppjuiHyQokX0OmTJqtsl5,2.45E-05,3,0.518,-12.884,1,How To Play Baseball - Hitting - Part 4,0,1947,0.948,55.924
1379,0.672,1928,0.615,['Seweryn Goszczyński'],0.717,109700,0.253,0,09b9ySV4WIlf0OQ2ur2klc,0,1,0.125,-17.446,0,Chapter 2.12 - Zamek kaniowski,0,1928,0.956,62.817
162595,0.875,1980,0.23,['Blondie'],0.729,599440,0.867,0,0xxdWanEAzcwvKoCFlYQWV,0.0391,2,0.0487,-6.452,1,Rapture - Special Disco Mix/2001 Remaster,25,1980-11-01,0.0483,108.169
48807,0.719,1978,0.289,['Waylon Jennings'],0.554,240333,0.428,0,2ektNTZPN9KgOLt1CwnWxY,0.2,0,0.148,-15.197,1,Gold Dust Woman - Remastered,38,1978-01-01,0.0447,139.922
58312,0.455,1931,0.547,['Charlie Chaplin'],0.45,824208,0.316,0,5RumlRQ92Z3WyEHDv8VZgB,0.764,8,0.36,-9.948,1,The Boxing Match,0,1931,0.0451,125.33
59713,0.409,1942,0.923,['Rooprekha Chatterjee'],0.475,276253,0.283,0,3IumJd6SMcEh99wyOfx6Uo,0,0,0.318,-13.923,0,Tommar Swapne Aami,0,1942-12-01,0.132,143.31
36352,0.648,2009,0.11,['Carrie Underwood'],0.476,177253,0.84,0,1Fo2N5iXRi37maMboaig7O,0,2,0.046,-2.259,1,Undo It,57,2009,0.058,156.254
15684,0.554,2000,0.404,['Musiq Soulchild'],0.754,251427,0.376,0,5jgEJXjECdlhzNgfITSTVm,0,0,0.358,-7.561,1,Just Friends (Sunny),59,2000-01-01,0.204,95.018
55574,0.639,2011,0.000775,['AWOLNATION'],0.597,242471,0.733,0,630brCzcLTQ3WEspOnZvec,0,5,0.0612,-5.238,1,Not Your Fault,54,2011,0.0348,144.028
13450,0.237,1989,0.041,['Mötley Crüe'],0.497,253120,0.98,0,0FqMZmwe9qJ3nR5FuYpyoY,2.33E-05,2,0.28,-4.406,1,Same Ol' Situation (S.O.S.),61,1989,0.13,139.673
19246,0.204,2018,0.619,['Joji'],0.672,174358,0.588,1,1VGzxJnVQND7Cg5H5wGj14,0.241,1,0.0992,-9.573,1,YEAH RIGHT,81,2018-10-26,0.133,169.033
51553,0.65,1991,0.00112,['U2'],0.505,221373,0.759,0,4bK2vKMdkS0rNhbzRqAZe0,0.000365,7,0.168,-6.871,1,Even Better Than The Real Thing,50,1991-11-18,0.0303,128.63
75729,0.842,1929,0.981,['Ignacio Corsini'],0.703,110013,0.202,0,7docDI7hiHDi6jmdmBxAPM,0.0619,5,0.0951,-17.165,1,Ufa - Remasterizado,0,1929-06-20,0.197,135.217
132977,0.928,1981,0.465,['Los Jaivas'],0.602,287387,0.798,0,4fvBHLNI8Ssmzll6uXdaOr,8.78E-05,3,0.119,-5.227,0,Sube a Nacer Conmigo Hermano,53,1981,0.0465,109.924
27127,0.31,1963,0.928,"['Stan Getz', 'Luiz Bonfá']",0.673,201093,0.162,0,2js8wl7HG1i8jZNAyqFu8g,0.255,5,0.0938,-17.238,1,Insensatez,43,1963,0.0392,127.591
22608,0.578,1939,0.816,['Alcoholics Anonymous'],0.707,776407,0.245,0,0Aw9sShqIXTgXKbH6tF5Pw,0,0,0.176,-18.443,1,Smile With Me At Me,0,1939-01-01,0.963,106.838
96843,0.744,1960,0.715,['Charles Mingus'],0.596,786533,0.405,0,30aNM8tD1FqUm08Sxla8z2,0.515,5,0.126,-16.038,0,"Folk Forms, No. 1",15,1960,0.381,107.041
8404,0.939,1963,0.675,['Dion'],0.331,168347,0.556,0,2RluieXkKFnU1VrJfHPRlc,0,6,0.353,-10.672,0,Donna the Prima Donna,39,1963-12-10,0.0372,138.635
144122,0.875,1961,0.832,['Chuck Berry'],0.61,133307,0.583,0,5QRlHg1UEJqPsIFiVQn3s7,0.000192,0,0.116,-10.474,1,Thirteen Question Method,14,1961-01-01,0.102,159.595
98079,0.273,1967,0.756,['The Rolling Stones'],0.36,308747,0.595,0,34Kgv4n8fsGyjylmg3jUx0,0.618,2,0.144,-10.074,1,Gomper - Remastered 2017 / Stereo,28,1967-12-08,0.0337,134.097
113482,0.116,1963,0.995,"['Franz Schubert', 'Vladimir Horowitz']",0.186,345493,0.0112,0,5tF9PN0FGZNHRWWl4Wr7hr,0.899,6,0.0948,-30.222,1,"4 Impromptus, D. 899, Op. 90: No. 3 in G-Flat Major",21,1963,0.0335,65.823
128031,0.0657,1956,0.995,['Bud Powell'],0.488,134107,0.124,0,6VhrBRccepnoZTWy2Zuqfz,0.958,10,0.107,-18.423,0,Dusk In Sandi,11,1956-01-01,0.0597,136.035
150350,0.634,1993,0.0985,"['Guru', ""N'Dea Davenport""]",0.782,243267,0.613,0,0DrFL4UAerLseMvbDvRU7l,0.000472,6,0.084,-11.451,0,When You're Near,42,1993-01-01,0.0864,92.069
37074,0.472,2012,0.81,['The Lumineers'],0.713,247933,0.319,0,1DDNfRbtLn2dxm4onBxhOV,5.71E-06,0,0.142,-11.099,1,Dead Sea,56,2012-04-03,0.028,94.043
95768,0.769,1955,0.954,"['Ghantasala', 'P. Leela']",0.424,258080,0.697,0,4IFLdjKPujjGKls7QEXjlZ,0.0101,3,0.302,-6.093,0,Eenaati Eehaayi Kalakaad,5,1955-12-31,0.0495,105.702
86233,0.786,1990,0.894,['Paul Desmond'],0.524,253133,0.316,0,0XBDgnZFhL27Y46oVknBPE,0.711,7,0.157,-19.321,0,"The Theme from ""Black Orpheus""",35,1990-01-01,0.0399,92.605
153122,0.398,2008,0.000523,['SafetySuit'],0.323,264573,0.879,0,56It23AbJKm5QXD8sbVioN,0.000506,7,0.415,-3.287,1,Stay,42,2008-01-01,0.0408,148.067
99144,0.598,1972,0.823,"['The J. Geils Band', 'Geoffrey Haslam']",0.578,157173,0.867,0,0CqlOm3b0DQkuXNypeuGl1,0.0554,9,0.427,-6.602,1,Whammer Jammer - Live,28,1972,0.175,114.286
165485,0.369,1994,5.65E-06,['Weezer'],0.475,258560,0.613,0,3gM5SOSbs38dCf1xZ76iYE,0.338,6,0.0805,-11.791,1,Jamie - DGC Rarities Version,30,1994-05-07,0.0288,108.959
18059,0.721,2012,0.00107,['Train'],0.765,195973,0.837,0,0KAiuUOrLTIkzkpfpn9jb9,1.06E-05,1,0.0801,-3.113,0,Drive By,76,2012-04-17,0.032,122.028
150069,0.357,1992,0.00582,['Lynch Mob'],0.55,280333,0.823,0,7hLpSi7tHQEFUZBxFgLBSZ,0.000242,11,0.172,-7.456,0,Tangled in the Web,34,1992-04-14,0.0365,103.788
125099,0.716,1930,0.995,['?.????ή?'],0.608,248600,0.203,0,5YzQ30cljezSnJgLzNaBaD,0.051,10,0.127,-19.158,1,? ??λακή είναι ??ολείο,0,1930-01-01,0.0747,140.146
64890,0.0813,1969,0.969,['Joni Mitchell'],0.574,190067,0.216,0,6VOo52HfSgjysDSD8VD5w2,0.314,6,0.0869,-12.522,1,Songs to Aging Children Come,35,1969-05-01,0.03,113.616
101307,0.328,1983,0.000129,['Mercyful Fate'],0.243,169267,0.86,0,32URIdX9oiJ9uttUuBaAkf,0.0398,9,0.238,-11.046,1,Black Funeral,34,1983,0.0727,135.93
114159,0.971,1966,0.605,['The Animals'],0.622,147867,0.737,0,4PnoDwJAiM55PiMyJ5hsMl,0.00123,7,0.511,-6.206,1,Gonna Send You Back To Walker,16,Feb-66,0.026,99.398
